,Symbol,Year,Quarter,Assets,Debt,Equity,Liabilities,Provisions
109,BIC,2019,1,5225268256220.0,0.0,2160078098989.0,3032381544788.0,2144950121581.0
110,BIC,2019,2,5498886035171.0,0.0,2114902732374.0,3332704914936.0,2303793994367.0
111,BIC,2019,3,5409021140753.0,0.0,2180747264058.0,3184497591909.0,2314101427074.0
112,BIC,2019,4,5546132956102.0,10000000000.0,2193480815443.0,3313921076038.0,2385979275993.0
113,BIC,2020,1,5496932151531.0,0.0,2278643850692.0,3193089854503.0,2299643090329.0
114,BIC,2020,2,5802612899232.0,0.0,2250900518579.0,3497116690371.0,2437976259879.0
115,BIC,2020,3,5775296631182.0,0.0,2324120883598.0,3399466018844.0,2379294551124.0
116,BIC,2020,4,5811547514270.0,0.0,2380242476870.0,3383336245976.0,2433599623570.0
117,BIC,2021,1,5950323869512.0,0.0,2465332440511.0,3451156515377.0,2464847497240.0
118,BIC,2021,2,6318000841578.0,0.0,2335666663981.0,3886161644025.0,2798886344248.0
119,BIC,2021,3,6283807767689.0,0.0,2440244253420.0,3758014344140.0,2701761525422.0
120,BIC,2021,4,6071217343207.0,0.0,2538961429576.0,3450532680331.0,2404880968085.0
121,BIC,2022,1,6244099082291.0,0.0,2610711888395.0,3576003699693.0,2571289729940.0
122,BIC,2022,2,6589176203160.0,0.0,2381616731413.0,4068303701921.0,2771109702455.0
123,BIC,2022,3,6589520960948.0,0.0,2435931577684.0,4027943289089.0,2727304619891.0
124,BIC,2022,4,6592373367039.0,0.0,2561189064691.0,3905902371311.0,2761424517264.0
125,BIC,2023,1,7309508589112.0,5194637.0,2654753222767.0,4578280185268.0,3209535813418.0
126,BLI,2007,4,292013956902.0,0.0,187441565473.0,103660634538.0,76050000000.0
127,BLI,2008,4,297592593659.0,0.0,171367124159.0,126600179713.0,111550000000.0
128,BLI,2009,4,381741167466.0,0.0,184776780543.0,197336131882.0,164920086306.0
129,BLI,2010,4,596384464317.0,0.0,346037478462.0,250895657418.0,184911062464.0
130,BLI,2011,4,729465144688.0,0.0,325448337202.0,404016807486.0,272300454460.0
131,BLI,2012,4,763792995910.0,0.0,355795979447.0,407997016463.0,253303371552.0
132,BLI,2013,2,752934776706.0,0.0,365897696676.0,387037080030.0,217311362083.0
133,BLI,2013,4,787419814781.0,0.0,371861061191.0,415558753590.0,242783956513.0
134,BLI,2014,2,967944706848.0,0.0,367503245899.0,600441460949.0,426928705614.0
135,BLI,2014,4,1058796132415.0,0.0,374133657337.0,684662475078.0,0.0
136,BLI,2015,2,1140210535403.0,0.0,425712688329.0,714497847074.0,499328633946.0
137,BLI,2015,4,0.0,0.0,436517071075.0,823379436635.0,519036030567.0
138,BLI,2016,1,1287075497914.0,0.0,458260760262.0,828814737652.0,513464214146.0
139,BLI,2016,2,1294723811647.0,0.0,567577650028.0,727146161619.0,520441465066.0
140,BLI,2016,3,1252407825856.0,0.0,587089410906.0,662710389138.0,449365761764.0
141,BLI,2016,4,1293717550439.0,0.0,547244124148.0,743642059916.0,504447827338.0
142,BLI,2017,1,1401594551290.0,0.0,550007143979.0,848891283186.0,555081918082.0
143,BLI,2017,2,1609441783720.0,0.0,644919106702.0,964522677018.0,720676616593.0
144,BLI,2017,3,1611951534705.0,0.0,674280831094.0,937670703611.0,683909969198.0
145,BLI,2017,4,1675051315738.0,0.0,654250690713.0,1020800625025.0,752035479996.0
146,BLI,2018,1,1707777301344.0,0.0,665636412970.0,1042140888374.0,761886852494.0
147,BLI,2018,2,1701848449918.0,0.0,669360436419.0,1032488013499.0,717249232450.0
148,BLI,2018,3,1760159272585.0,0.0,715497334552.0,1044661938033.0,713366177322.0
149,BLI,2018,4,1828599343927.0,0.0,666749572459.0,1161849771468.0,787279379398.0
150,BLI,2019,1,1896776267913.0,0.0,716135696542.0,1180640571371.0,783816817936.0
151,BLI,2019,2,1907695991044.0,0.0,702843753466.0,1204852237578.0,764427757934.0
152,BLI,2019,3,1950891756870.0,0.0,736284785487.0,1214606971383.0,761411682841.0
153,BLI,2019,4,2004433443740.0,0.0,675142536993.0,1329290906747.0,825181810207.0
154,BLI,2020,1,1991904225124.0,0.0,689007243379.0,1302896981745.0,843117363867.0
155,BLI,2020,2,2070967674456.0,0.0,687530818065.0,1383436856391.0,835924515614.0
156,BLI,2020,3,2050594946064.0,0.0,725947746159.0,1324647199905.0,849140146109.0
157,BLI,2020,4,2272704870871.0,0.0,690208126057.0,1582496744814.0,1018709538750.0
158,BLI,2021,1,2187819386011.0,0.0,747277001794.0,1440542384217.0,1004017587220.0
159,BLI,2021,2,2145982298554.0,0.0,711910649919.0,1434071648635.0,959464105662.0
160,BLI,2021,3,2160876219207.0,0.0,761514300255.0,1399361918952.0,856793210618.0
161,BLI,2021,4,2290574453897.0,0.0,732302465073.0,1558271988824.0,976911410055.0
162,BLI,2022,1,2462291199641.0,0.0,860316303657.0,1601974895984.0,1012138253854.0
163,BLI,2022,2,2465676216228.0,0.0,736338105114.0,1729338111114.0,1090824342671.0
164,BLI,2022,3,2473195176880.0,0.0,790339299149.0,1682855877731.0,1041223029495.0
165,BLI,2022,4,2522688735113.0,0.0,748291728080.0,1774397007033.0,1081294385148.0
166,BLI,2023,1,2460191452532.0,0.0,772517889219.0,1687673563313.0,1044545924915.0
167,BMI,2004,4,1516745667074.0,0.0,442466597572.0,1062786718554.0,352647969108.0
168,BMI,2005,4,1508325127719.0,0.0,509938835624.0,997475963147.0,407484790992.0
169,BMI,2006,4,1439210978969.0,0.0,542925685041.0,883600802107.0,416704579292.0
170,BMI,2007,1,1754382307090.0,0.0,586772729573.0,1156655040408.0,0.0
171,BMI,2007,2,1826797486337.0,0.0,587134103361.0,1239663382976.0,0.0
172,BMI,2007,3,3100190626082.0,0.0,2064535952664.0,1035654673418.0,0.0
173,BMI,2007,4,2988786253281.0,0.0,2067304161683.0,921482091598.0,0.0
174,BMI,2008,1,3325679821345.0,0.0,2094441945922.0,1234662579684.0,683180993219.0
175,BMI,2008,2,3403645692288.0,0.0,2069153816776.0,1346399218593.0,761185081397.0
176,BMI,2008,3,3434348217192.0,0.0,2094418739852.0,1339929477340.0,653763542915.0
177,BMI,2008,4,3186956089308.0,0.0,2103940096218.0,1083015993090.0,665943392548.0
178,BMI,2009,1,3364552889252.0,0.0,2134127601090.0,1230425288162.0,0.0
179,BMI,2009,2,3859152456358.0,100000000000.0,2191394396962.0,1588861937678.0,778106838418.0
180,BMI,2009,3,3903412707229.0,100000000000.0,2195438069148.0,1617496581425.0,838880759377.0
181,BMI,2009,4,3673919829768.0,100000000000.0,2267989877457.0,1315230057143.0,754318629074.0
182,BMI,2010,1,4106253253717.0,100000000000.0,2295193782481.0,1726005601068.0,1008252883711.0
183,BMI,2010,2,3843181791662.0,0.0,2223907837465.0,1541284895093.0,928368003523.0
184,BMI,2010,3,4044717957451.0,0.0,2259731670980.0,1711499621552.0,979009158587.0
185,BMI,2010,4,3818539943076.0,0.0,2255623382067.0,1461564242404.0,978713620651.0
186,BMI,2011,1,4158337366477.0,0.0,2331955273541.0,1731406126638.0,1050407384784.0
187,BMI,2011,2,4048529381824.0,2500000000.0,2246943513568.0,1705485559254.0,998480953038.0
188,BMI,2011,3,4145911964366.0,0.0,2274516090504.0,1773405957513.0,1014286307070.0
189,BMI,2011,4,412318201956.0,0.0,2300254079042.0,1729546444099.0,800994804049.0
190,BMI,2012,1,4314056646900.0,0.0,2314560164598.0,1898918485716.0,1023411154530.0
191,BMI,2012,2,4178176766471.0,4999770000.0,2230076929649.0,1850170268283.0,872436179457.0
192,BMI,2012,3,4149542466360.0,5464462028.0,2209513066137.0,1840563510395.0,880434302342.0
193,BMI,2012,4,3982310147420.0,2998985191.0,2300626979981.0,1580029354470.0,845650609795.0
194,BMI,2013,1,4036916209103.0,5252232106.0,2225742532966.0,1710211109494.0,991207663907.0
195,BMI,2013,2,3896369349317.0,0.0,2120311524990.0,1673171510435.0,969116874775.0
196,BMI,2013,3,3964726039492.0,95137.0,2143304642807.0,1721410084443.0,1010816443228.0
197,BMI,2013,4,3972520119385.0,0.0,2162561209446.0,1712311083735.0,889216764437.0
198,BMI,2014,1,4931796802815.0,0.0,2202903879012.0,2616274856774.0,1704099067115.0
199,BMI,2014,2,5092693277742.0,0.0,2125416011977.0,2847322113550.0,1895721541635.0
200,BMI,2014,3,5204415296083.0,0.0,2158502887235.0,2929679703857.0,1909872865634.0
201,BMI,2014,4,5144684846728.0,0.0,2183614553648.0,2858288105026.0,1914774882809.0
202,BMI,2015,1,5506558428878.0,0.0,2216974776315.0,3195161770607.0,2077800056621.0
203,BMI,2015,2,5372278528579.0,0.0,2171725723914.0,3070131430057.0,2087990017603.0
204,BMI,2015,3,5625740115863.0,0.0,2206110512998.0,3296642690616.0,2287361609685.0
205,BMI,2015,4,5238688191131.0,0.0,2249576595662.0,2881901372311.0,2101007926745.0
206,BMI,2016,1,5299150555792.0,0.0,2247092046743.0,2957280496228.0,1999991198542.0
207,BMI,2016,2,5325697390365.0,0.0,2204757714137.0,2981401958952.0,1976264428397.0
208,BMI,2016,3,5159984444542.0,0.0,2115597960244.0,3013791725479.0,1936384624270.0
209,BMI,2016,4,5113047776908.0,0.0,2217834725172.0,2878167717368.0,1852528384122.0
210,BMI,2017,1,5305575685126.0,0.0,2212903480754.0,3091528897604.0,1883222134918.0
211,BMI,2017,2,5188620414177.0,0.0,2146996638600.0,2991800617992.0,2044121688982.0
212,BMI,2017,3,5289809623730.0,0.0,2219755021801.0,3025593312119.0,2094574461767.0
213,BMI,2017,4,5726241313408.0,0.0,2128495720831.0,3572014286318.0,2511711360799.0
214,BMI,2018,1,5692572546106.0,0.0,2197410914945.0,3489405026253.0,2210257312991.0
215,BMI,2018,2,5602682916004.0,0.0,2222177019762.0,3347045515875.0,2230644372006.0
216,BMI,2018,3,5619617737238.0,0.0,2249738725469.0,3331383165637.0,2106386275718.0
217,BMI,2018,4,5544713652712.0,0.0,2255550762490.0,3275536830109.0,2189751018032.0
218,BMI,2019,1,5703524351549.0,0.0,2284552111559.0,3406183943927.0,2009750134557.0
219,BMI,2019,2,5291476810094.0,0.0,2199261619146.0,3058936797696.0,1881442756467.0
220,BMI,2019,3,5485947635356.0,0.0,2236783806680.0,3210467876313.0,2073514862009.0
221,BMI,2019,4,5783393326331.0,0.0,2274270910549.0,3482914114740.0,2223806673030.0
222,BMI,2020,1,5991939144263.0,0.0,2301599901047.0,3668618872700.0,2350835956562.0
223,BMI,2020,2,5983790356720.0,0.0,2181601809658.0,3778734778156.0,2274362662343.0
224,BMI,2020,3,6240999707185.0,0.0,2244112267083.0,3984343263539.0,2542171625264.0
225,BMI,2020,4,6704793894869.0,0.0,2273875011622.0,4416734444682.0,3159853002013.0
226,BMI,2021,1,6701399239349.0,0.0,2360776804093.0,4318146683143.0,2860439492872.0
227,BMI,2021,2,6018840369686.0,0.0,2221275991458.0,3769623130992.0,2704746357000.0
228,BMI,2021,3,7138181533683.0,0.0,2278136134879.0,4828351524129.0,3722415300875.0
229,BMI,2021,4,7340640315294.0,0.0,2331417759269.0,4971414326047.0,3636481832708.0
230,BMI,2022,1,7463565257577.0,0.0,2398968830988.0,5022380619818.0,3601225459395.0
231,BMI,2022,2,7115854489389.0,0.0,2288447595732.0,4780152342833.0,3322821342478.0
232,BMI,2022,3,7194167740544.0,0.0,2363292586522.0,4788364393576.0,3457560676024.0
233,BMI,2022,4,6923593737098.0,0.0,2421852742765.0,4454567775910.0,3025143931332.0
234,BMI,2023,1,7402396872877.0,0.0,2484271215307.0,4865908673144.0,3136732399507.0
235,BVH,2008,4,25317575407946.0,0.0,8265011167953.0,16526705083134.0,14814207763086.0
