,Symbol,Year,Quarter,Sales,IncomeFVTPL,IncomeHTM,IncomeLoansReceivables,IncomeAFS,IncomeDerivatives,RevenueBrokerageServices,RevenueUnderwritingIssuuanceServices,RevenueAdvisoryServices,RevenueAuctionTrustServices,RevenueCustodyServices,OtherRevenues,FVTPL,Revenues,InterestExpenses,NetIncome,NetIncome2
68,APG,2017,1,1305090586.0,0.0,0.0,233872468.0,0.0,0.0,154269372.0,0.0,860000000.0,0.0,56948746.0,0.0,0.0,1071218118.0,0.0,-204143514.0,-204143514.0
69,APG,2017,2,8799203702.0,9115721.0,257570000.0,2671460378.0,0.0,0.0,274515756.0,0.0,5553051254.0,0.0,33490593.0,0.0,-2619677779.0,5861057603.0,188971457.0,4720196897.0,4720196897.0
70,APG,2017,3,1859997362.0,0.0,174475564.0,327630599.0,0.0,0.0,308512868.0,0.0,1010000000.0,0.0,39378331.0,0.0,0.0,1357891199.0,50154755.0,134107425.0,134107425.0
71,APG,2017,4,6085015353.0,2519992779.0,-432045564.0,2544466014.0,0.0,0.0,321060532.0,0.0,1204410516.0,0.0,-72868924.0,0.0,4399162986.0,1452602124.0,-239126212.0,3569102732.0,3569102732.0
72,APG,2018,1,1871980620.0,802400000.0,0.0,543809884.0,0.0,0.0,406822775.0,0.0,100000000.0,0.0,18947961.0,0.0,555301450.0,525770736.0,0.0,10973097.0,10973097.0
73,APG,2018,2,4457328374.0,1289590652.0,0.0,2916521341.0,0.0,0.0,90090081.0,0.0,130000000.0,0.0,31126300.0,0.0,1075662000.0,251216381.0,0.0,2173821856.0,2173821856.0
74,APG,2018,3,5095366950.0,715312250.0,0.0,3583829168.0,0.0,0.0,239807701.0,0.0,531818182.0,0.0,24599649.0,0.0,715312250.0,796225532.0,0.0,3975107109.0,3975107109.0
75,APG,2018,4,10698451675.0,-310022647.0,0.0,5636638598.0,0.0,0.0,925951328.0,0.0,4341136365.0,0.0,62020759.0,42727272.0,-441763025.0,5329108452.0,0.0,4698176055.0,4698176055.0
76,APG,2019,1,3704277460.0,3038333333.0,0.0,165422383.0,0.0,0.0,216674770.0,0.0,276650000.0,0.0,7196974.0,0.0,3021475453.0,500521744.0,0.0,2220191466.0,2220191466.0
77,APG,2019,2,17208529962.0,-3030592833.0,6095332000.0,-125432059.0,0.0,0.0,14130207688.0,0.0,0.0,0.0,139015166.0,0.0,-9765905853.0,14269222854.0,0.0,-1133832588.0,-1133832588.0
78,APG,2019,3,16591277587.0,0.0,4109000000.0,22544046.0,0.0,0.0,12165684527.0,0.0,284500000.0,0.0,9549014.0,0.0,-10500000000.0,12459733541.0,0.0,2661219981.0,2661219981.0
79,APG,2019,4,92799926794.0,0.0,4131515000.0,58358183.0,0.0,0.0,88577038573.0,0.0,17000000.0,0.0,16015038.0,0.0,-42786371100.0,88610053611.0,0.0,19967259336.0,19967259336.0
80,APG,2020,1,4954636222.0,0.0,4102700000.0,98955532.0,0.0,0.0,722388319.0,0.0,0.0,0.0,30592371.0,0.0,-98630.0,752980690.0,0.0,2511116038.0,2511116038.0
