,Symbol,Year,Quarter,Assets,Debt,Equity,Loans
139,SHS,2018,2,5027662771255.0,2020300000000.0,1682502929290.0,2265806815885.0
140,SHS,2019,2,5526888508864.0,2108000000000.0,2552308866793.0,1906304417387.0
141,SHS,2020,2,6139056727876.0,2022000000000.0,2943372330126.0,1703300592716.0
142,SHS,2021,2,9733704674897.0,3184000000000.0,4349570946372.0,4768936050945.0
143,SHS,2022,2,11220412604283.0,1456000000000.0,9406856115535.0,2805517121431.0
144,SHS,2016,3,3749720693298.0,1525080014632.0,1072114162238.0,1755282431298.0
145,SHS,2017,3,4518338541534.0,1861600000000.0,1365542412223.0,2247572199703.0
146,SHS,2018,3,5424905558856.0,2082000000000.0,1777799690324.0,2303955358762.0
147,SHS,2019,3,5675911252673.0,2066109551101.0,2656620723884.0,1945744398901.0
148,SHS,2020,3,6974646690985.0,2998000000000.0,2834336002878.0,1894973248775.0
149,SHS,2021,3,10031334726007.0,3694000000000.0,4095294407457.0,3903035953767.0
150,SHS,2022,3,11369393256968.0,1566000000000.0,9448048284440.0,3269036953819.0
151,SHS,2014,4,3172969633943.0,465000000000.0,907798164502.0,
152,SHS,2015,4,3360471593057.0,1097000000000.0,1027896243764.0,
153,SHS,2016,4,3314377817490.0,1423500000000.0,1113485946231.0,1714385482679.0
154,SHS,2017,4,4134483076920.0,1872310706528.0,1477257252166.0,2322600119143.0
155,SHS,2018,4,4869334902362.0,2417980000000.0,1865314388246.0,2051008965835.0
156,SHS,2019,4,6072677540219.0,1938000000000.0,2692335751181.0,1647839423627.0
157,SHS,2020,4,6929742693707.0,1894000000000.0,3226314819602.0,2171684164501.0
158,SHS,2021,4,10910883600024.0,3848000000000.0,6055579667733.0,5817012626522.0
159,SHS,2022,4,10899625766764.0,1067000000000.0,9435859429598.0,2355668531748.0
160,APS,2014,0,444451777772.0,0.0,354403426528.0,
161,APS,2015,0,477532647615.0,5000000000.0,360958680930.0,
162,APS,2016,0,371906809751.0,0.0,363663844122.0,147684356257.0
163,APS,2017,0,390929400918.0,0.0,375752750051.0,166666938759.0
164,APS,2018,0,393212833401.0,0.0,377718551583.0,159491804445.0
165,APS,2019,0,357912319906.0,0.0,343335865804.0,168597167578.0
166,APS,2020,0,410713483360.0,0.0,399874236066.0,160449146041.0
167,APS,2021,0,1612693221785.0,0.0,1410230639441.0,532994692900.0
168,APS,2022,0,975004973839.0,4631000000.0,961182320662.0,179162860374.0
169,APS,2016,1,393409058747.0,0.0,357376664487.0,146405335452.0
170,APS,2017,1,373338813080.0,0.0,365514057509.0,130509851349.0
171,APS,2018,1,391433908456.0,0.0,379328238513.0,139632420659.0
172,APS,2019,1,392843020161.0,0.0,378469795064.0,140185644005.0
173,APS,2020,1,361973092289.0,0.0,345805893478.0,160258674598.0
174,APS,2021,1,443302873935.0,0.0,433917183792.0,133482482074.0
175,APS,2022,1,1572883772865.0,4631000000.0,1456551835319.0,314831606263.0
176,APS,2023,1,1001437570233.0,4631000000.0,991242935675.0,160277005108.0
177,APS,2016,2,368426290662.0,0.0,361730975432.0,161074476974.0
178,APS,2017,2,389721755182.0,0.0,378534229305.0,138430991671.0
179,APS,2018,2,384546123690.0,0.0,369776639042.0,123151962974.0
180,APS,2019,2,373868669909.0,0.0,358686603598.0,195099820882.0
181,APS,2020,2,372230788582.0,0.0,349046003925.0,187759832415.0
182,APS,2021,2,454215216295.0,0.0,437621258196.0,152326284442.0
183,APS,2022,2,1133424069753.0,4631000000.0,1105944411436.0,247843738393.0
184,APS,2016,3,369540734782.0,0.0,361811821441.0,122240694001.0
185,APS,2017,3,386951813010.0,0.0,376514278120.0,140279860816.0
186,APS,2018,3,378463505779.0,0.0,369938181596.0,121368047762.0
187,APS,2019,3,354914235559.0,0.0,345583545222.0,170009399911.0
188,APS,2020,3,372446932963.0,0.0,363065790298.0,145598006145.0
189,APS,2021,3,959881937142.0,0.0,924565035415.0,255617742497.0
190,APS,2022,3,1129954778222.0,4631000000.0,1114209624112.0,154469101906.0
191,APS,2014,4,444451777772.0,0.0,354403426528.0,
192,APS,2015,4,477532647615.0,5000000000.0,360958680930.0,
193,APS,2016,4,371423735090.0,0.0,363153269461.0,147684356257.0
194,APS,2017,4,390765900554.0,0.0,376763302021.0,166666938759.0
195,APS,2018,4,396371931570.0,0.0,380810798037.0,159491804445.0
196,APS,2019,4,357176311531.0,0.0,342083074181.0,168597167578.0
197,APS,2020,4,412422397391.0,0.0,400171766063.0,160449146041.0
198,APS,2021,4,1612693221785.0,0.0,1410230639441.0,532994692900.0
199,APS,2022,4,976414317879.0,4631000000.0,962591664702.0,179162860374.0
200,VDS,2014,0,1100635741505.0,284833623695.0,342461279998.0,
201,VDS,2015,0,1251169537338.0,155770100000.0,713554435342.0,
202,VDS,2016,0,1593235428743.0,503120000000.0,762861001674.0,861420252720.0
203,VDS,2017,0,1842619671681.0,772175765000.0,1042217914790.0,1312621982796.0
204,VDS,2018,0,1932337756856.0,797974000000.0,1110898897206.0,1585365383073.0
205,VDS,2019,0,2299545507697.0,1045840000000.0,1045444259161.0,1633196291178.0
206,VDS,2020,0,2568355587149.0,1276509000000.0,1165516570139.0,1453872727915.0
207,VDS,2021,0,4033154108571.0,2226718000000.0,1645863299487.0,2700131242001.0
208,VDS,2022,0,4254126021147.0,2108230000000.0,2082911350568.0,2296286708465.0
209,VDS,2016,1,1108124986558.0,171780000000.0,724334313587.0,580878547708.0
210,VDS,2017,1,1807589571077.0,834588288230.0,787063420142.0,1125719584437.0
211,VDS,2018,1,2114965982919.0,989042985145.0,1091789749220.0,1658396083982.0
212,VDS,2019,1,2358160510112.0,1240894000000.0,1081995195022.0,1897722029375.0
213,VDS,2020,1,2037751301739.0,1049838000000.0,957069829400.0,1356799418130.0
214,VDS,2021,1,2963221817400.0,1570682000000.0,1289712032457.0,2244179247033.0
215,VDS,2022,1,5412435605566.0,3581938999112.0,1705409795392.0,3547734011665.0
216,VDS,2023,1,3976419611760.0,1790550000000.0,2138638406063.0,2178371146068.0
217,VDS,2016,2,1650602779830.0,502500000000.0,735479371140.0,987970360725.0
218,VDS,2017,2,1552469723193.0,711410000000.0,777921114338.0,1204858197249.0
219,VDS,2018,2,2058815853020.0,936026002991.0,1096549689541.0,1607909678399.0
220,VDS,2019,2,2113792370707.0,1014860000000.0,1066061574905.0,1711835699609.0
221,VDS,2020,2,2217156769304.0,959816000000.0,1058457611843.0,1318055410226.0
222,VDS,2021,2,3505094349924.0,1785444000000.0,1448155757891.0,2360957318675.0
223,VDS,2022,2,4175619191330.0,2605809999112.0,1474331820707.0,2421004441258.0
224,VDS,2016,3,1804729216991.0,710955813106.0,757657866290.0,1291211162327.0
225,VDS,2017,3,1711779286836.0,887255000000.0,801713123353.0,1395678001162.0
226,VDS,2018,3,2171346959072.0,1009791000000.0,1118243286509.0,1762522769141.0
227,VDS,2019,3,2206651726165.0,1105399000000.0,1075256718434.0,1770090838067.0
228,VDS,2020,3,2263799223427.0,1109084000000.0,1095569490286.0,1729126907798.0
229,VDS,2021,3,3887201028381.0,2241495000000.0,1521562695311.0,2917157290399.0
230,VDS,2022,3,5002958173354.0,2843985000000.0,1502110925768.0,3035206708514.0
231,VDS,2014,4,1100635741505.0,284833623695.0,342461279998.0,
232,VDS,2015,4,1251169537338.0,155770100000.0,713554435342.0,
233,VDS,2016,4,1593235428743.0,503120000000.0,762861001674.0,861420252720.0
234,VDS,2017,4,1842619671681.0,772175765000.0,1042217914790.0,1312621982796.0
235,VDS,2018,4,1932337756856.0,797974000000.0,1110898897206.0,1585365383073.0
236,VDS,2019,4,2299545507697.0,1045840000000.0,1045444259161.0,1633196291178.0
237,VDS,2020,4,2568355587149.0,1276509000000.0,1165516570139.0,1453872727915.0
238,VDS,2021,4,4033154108571.0,2226718000000.0,1645863299487.0,2700131242001.0
239,VDS,2022,4,4254126021147.0,2108230000000.0,2082911350568.0,2296286708465.0
240,CTS,2014,0,1139278195672.0,0.0,925995726262.0,
241,CTS,2015,0,1325466999998.0,0.0,995074020693.0,
242,CTS,2016,0,1420648445047.0,235000000000.0,1069742601808.0,415545480797.0
243,CTS,2017,0,1838253177523.0,509536400000.0,1170873434829.0,658980679063.0
244,CTS,2018,0,2576739623339.0,820006600000.0,1315078616187.0,714946499793.0
245,CTS,2019,0,2799852909842.0,890000000000.0,1313042385016.0,657700873897.0
246,CTS,2020,0,4273706411610.0,2166722913838.0,1437439798689.0,922989735587.0
247,CTS,2021,0,6685686401841.0,4100407343338.0,1811808740764.0,1594936417382.0
248,CTS,2022,0,5036970412985.0,3075099329013.0,1854319844096.0,1510162481723.0
249,CTS,2016,1,1125422930080.0,30000000000.0,1014292485553.0,292750605641.0
250,CTS,2017,1,1243768530163.0,114980850952.0,1100582181722.0,504854868645.0
251,CTS,2018,1,2364960719264.0,767414500000.0,1212477447079.0,776837252051.0
252,CTS,2019,1,2531783632651.0,717910920000.0,1361055846253.0,690370329572.0
253,CTS,2020,1,2081845546390.0,699582000000.0,1221071022032.0,625188106859.0
254,CTS,2021,1,4941741686202.0,3009554909164.0,1477336529243.0,1222015083852.0
255,CTS,2022,1,7736635451368.0,4373833531095.0,1852031832878.0,1764454990210.0
256,CTS,2023,1,6406208159699.0,4445088559296.0,1867765197745.0,1509422592314.0
257,CTS,2016,2,1163758254310.0,80000000000.0,1015887418823.0,297714746060.0
